Impact,Year,Country,Protection,Impact Func ID
54790.50147186296,2008,SOM,FLOPROS,18
61231.894322890876,2009,SOM,FLOPROS,18
46347.87541289046,2010,SOM,FLOPROS,18
49277.00392482181,2011,SOM,FLOPROS,18
31874.357383911116,2012,SOM,FLOPROS,18
50076.53936830573,2013,SOM,FLOPROS,18
49070.25566314076,2014,SOM,FLOPROS,18
41547.77565907102,2015,SOM,FLOPROS,18
123093.47958391359,2016,SOM,FLOPROS,18
44178.297355520896,2017,SOM,FLOPROS,18
183610.56495355951,2018,SOM,FLOPROS,18
85393.03392669892,2019,SOM,FLOPROS,18
171351.7046726087,2020,SOM,FLOPROS,18
38163.482830390676,2021,SOM,FLOPROS,18
34834.338947949705,2022,SOM,FLOPROS,18
348381.76358733873,2023,SOM,FLOPROS,18
53809.41629059506,2008,SOM,FLOPROS,19
70148.9110290027,2009,SOM,FLOPROS,19
47155.224010972226,2010,SOM,FLOPROS,19
51523.527975466866,2011,SOM,FLOPROS,19
31553.172684227502,2012,SOM,FLOPROS,19
49991.76173048126,2013,SOM,FLOPROS,19
48224.006028615004,2014,SOM,FLOPROS,19
42753.67704910171,2015,SOM,FLOPROS,19
128095.62046709667,2016,SOM,FLOPROS,19
47460.91972678851,2017,SOM,FLOPROS,19
180816.27164619707,2018,SOM,FLOPROS,19
83836.59763197206,2019,SOM,FLOPROS,19
179119.66041802656,2020,SOM,FLOPROS,19
37415.233725668964,2021,SOM,FLOPROS,19
34176.86490994332,2022,SOM,FLOPROS,19
338158.6655480652,2023,SOM,FLOPROS,19
50532.08909550721,2008,SDN,No Protection,0
31772.474829929095,2009,SDN,No Protection,0
96605.2224445411,2010,SDN,No Protection,0
26218.378379156668,2011,SDN,No Protection,0
95142.24024133965,2012,SDN,No Protection,0
134566.03816133612,2013,SDN,No Protection,0
94502.6902376417,2014,SDN,No Protection,0
10979.271589687762,2015,SDN,No Protection,0
42113.07624339373,2016,SDN,No Protection,0
84918.8661590341,2017,SDN,No Protection,0
100352.64662714461,2018,SDN,No Protection,0
422829.00397680263,2019,SDN,No Protection,0
509626.69145209563,2020,SDN,No Protection,0
84778.75546517778,2021,SDN,No Protection,0
123900.20015717551,2022,SDN,No Protection,0
18622.05833214795,2023,SDN,No Protection,0
54240.53247735277,2008,SDN,No Protection,1
35706.62950767175,2009,SDN,No Protection,1
97210.41359173668,2010,SDN,No Protection,1
35151.52969406328,2011,SDN,No Protection,1
96579.54219791718,2012,SDN,No Protection,1
125096.4166181303,2013,SDN,No Protection,1
92086.39502607829,2014,SDN,No Protection,1
12517.591917649777,2015,SDN,No Protection,1
44967.12767797146,2016,SDN,No Protection,1
77200.43286269602,2017,SDN,No Protection,1
95379.25514605177,2018,SDN,No Protection,1
